,onehotencoder__x0_Bream,onehotencoder__x0_Parkki,onehotencoder__x0_Perch,onehotencoder__x0_Pike,onehotencoder__x0_Roach,onehotencoder__x0_Smelt,onehotencoder__x0_Whitefish,Weight,Length1,Height,Width
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0,23.2,11.52,4.02
1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,290.0,24.0,12.48,4.3056
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,23.9,12.3778,4.6961
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,26.3,12.73,4.4555
4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,430.0,26.5,12.444,5.134
5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,26.8,13.6024,4.9274
6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,26.8,14.1795,5.2785
7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,390.0,27.6,12.67,4.69
8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,27.6,14.0049,4.8438
9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,28.5,14.2266,4.9594
10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,475.0,28.4,14.2628,5.1042
11,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,28.7,14.3714,4.8146
12,1.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,29.1,13.7592,4.368
13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,29.5,13.9129,5.0728
14,1.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,29.4,14.9544,5.1708
15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,29.4,15.438,5.58
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,30.4,14.8604,5.2854
17,1.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,30.4,14.938,5.1975
18,1.0,0.0,0.0,0.0,0.0,0.0,0.0,610.0,30.9,15.633,5.1338
19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,650.0,31.0,14.4738,5.7276
20,1.0,0.0,0.0,0.0,0.0,0.0,0.0,575.0,31.3,15.1285,5.5695
21,1.0,0.0,0.0,0.0,0.0,0.0,0.0,685.0,31.4,15.9936,5.3704
22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,31.5,15.5227,5.2801
23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,31.8,15.4686,6.1306
24,1.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,31.9,16.2405,5.589
25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,725.0,31.8,16.36,6.0532
26,1.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,32.0,16.3618,6.09
27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,714.0,32.7,16.517,5.8515
28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,850.0,32.8,16.8896,6.1984
